---- /Users/marshall/Documents/DOC/coco/turnt-octo-happiness/LayIBEM3d/geometria3d/poligonoZ0/icosphere3.blend---
vetices del poligono en 0.0 
  0.9511    0.309
   0.809   0.5878
  0.5878    0.809
   0.309   0.9511
     0.0      1.0
  -0.309   0.9511
 -0.5878    0.809
  -0.809   0.5878
 -0.9511    0.309
    -1.0 -3.608e-07
 -0.9511   -0.309
  -0.809  -0.5878
 -0.5878   -0.809
  -0.309  -0.9511
     0.0     -1.0
   0.309  -0.9511
  0.5878   -0.809
   0.809  -0.5878
  0.9511   -0.309
     1.0      0.0
Fueron 20 vertices 
